uniqueID,Word,cat53_string,size_mean,memorability_cr,recognizability,property_hold_mean,property_hold_SD,property_pleasant_mean,property_pleasant_SD,property_arousal_mean,property_arousal_SD,property_manmade_mean,property_manmade_SD,property_grasp_mean,property_grasp_SD,property_natural_mean,property_natural_SD
horn,horn,musical instrument,227.4189189,0.7321185480833333,0.7132230702307693,6.0588,1.0993,4.3235,1.2485,4.425531915,1.6777920380000002,6.3824,1.5766,6.2353,0.8549,1.5882,0.8916
tambourine,tambourine,musical instrument,240.8604651,0.7710394670714286,0.7640539689333333,6.2727,1.1798,5.5152,1.1214,4.14,1.578038048,6.8788,0.4151,6.0303,1.4249,1.9394,1.144
trumpet,trumpet,musical instrument,257.9166667,0.7975258267499999,0.7179314671538461,5.7692,0.9587,5.3077,1.1275,3.895833333,1.94869933,6.641,0.9594,5.7179,1.0247,1.8462,1.0141
violin,violin,musical instrument,261.3043478,0.7876147806923076,0.8138889462142858,5.8947,0.8315,5.6579,1.4937,3.522727273,1.635203371,6.5526,0.9211,5.7632,1.0249,2.9474,1.4132
xylophone,xylophone,musical instrument,271.9268293,0.7992990325833333,0.7034646787692308,5.825,1.3376,5.875,1.0424,3.384615385,1.6937468169999998,6.825,0.3848,5.725,1.198,1.925,1.2888
punch2,punch,office supply; tool,211.53658540000004,0.8066298150714285,0.7360708142666667,6.75,0.5,4.4722,0.9098,4.346938776,1.465591752,6.9444,0.2323,6.5833,0.77,1.3056,0.6684
comb,comb,personal hygiene item,201.26923080000003,0.7976111143333333,0.8918087254615384,6.8889,0.3187,4.6944,0.9508,3.897959184,1.636114528,6.7778,0.7216,6.75,0.6036,1.3611,0.7617
eyeliner,eyeliner,personal hygiene item,185.05,0.8666035104166667,0.7465640952307692,6.5278,0.8447,5.0,1.331,3.976190476,1.6452162030000002,6.7778,0.5404,6.3333,0.8944,1.9167,1.2734
lipstick,lipstick,personal hygiene item,177.3409091,0.8329408260000001,0.9669685801538462,6.675,0.6558,5.425,0.8738,4.254901961,1.7982562359999998,6.875,0.3349,6.575,0.6751,2.575,1.4480000000000002
nail_polish,nail polish,personal hygiene item,172.0340909,0.848347905,0.9273443632666667,6.359,0.8425,5.5128,1.2327,4.181818182,1.6463169219999998,6.5128,1.374,5.8718,1.6572,1.8205,1.4118
